Symbol,Date,Close,High,Low,Open,Volume
orcl,2000-01-03,29.532,31.297,27.907,31.16,98108000
orcl,2000-01-04,26.922,29.657,26.25,28.88,116760800
orcl,2000-01-05,24.8906,26.5938,24.0,26.0,166028000
orcl,2000-01-06,22.25,26.25,22.25,25.5312,108784400
orcl,2000-01-07,26.0,26.125,23.3906,23.3906,91697200
orcl,2000-01-10,28.7656,29.0,26.375,26.5,91408400
orcl,2000-01-11,28.094,28.688,27.375,28.16,86508000
orcl,2000-01-12,26.407,28.063,25.922,28.06,83434000
orcl,2000-01-13,26.266,27.469,25.875,27.12,55764000
orcl,2000-01-14,26.704,27.844,26.188,27.25,57076000
orcl,2000-01-17,26.704,27.844,26.188,27.25,0
orcl,2000-01-18,28.5,28.625,26.4062,27.2188,66574799
orcl,2000-01-19,28.75,29.125,27.0,28.25,49147600
orcl,2000-01-20,29.625,30.125,29.063,29.5,54521400
orcl,2000-01-21,29.844,30.75,29.5,30.75,50876200
orcl,2000-01-24,27.094,30.188,27.0,30.12,49944800
orcl,2000-01-25,28.219,28.75,27.438,27.53,53034600
orcl,2000-01-26,27.532,29.469,27.5,28.38,47559200
orcl,2000-01-27,25.907,28.344,25.0,27.91,61045200
orcl,2000-01-28,23.688,25.969,23.313,25.75,86375200
orcl,2000-01-31,25.125,25.25,23.5625,24.0,67587600
orcl,2000-02-01,27.1562,27.1562,25.0,25.4375,57091600
orcl,2000-02-02,27.157,28.0,27.0,27.47,63924000
orcl,2000-02-03,28.75,28.8594,27.125,27.3125,55520800
orcl,2000-02-04,28.907,29.125,28.407,28.82,40915000
orcl,2000-02-07,29.969,30.0,29.203,29.66,44680600
orcl,2000-02-08,30.0,30.7188,29.5,30.1875,55591600
orcl,2000-02-09,29.969,30.657,29.407,30.03,52467600
orcl,2000-02-10,30.875,31.3125,29.0,30.0938,45133800
orcl,2000-02-11,29.844,32.375,29.375,31.25,55769000
orcl,2000-02-14,31.094,31.125,29.313,30.44,37595200
orcl,2000-02-15,30.688,31.594,29.563,30.82,47964000
orcl,2000-02-16,30.625,31.282,30.063,30.5,33477600
orcl,2000-02-17,30.5,31.5391,30.0,30.6875,40391200
orcl,2000-02-18,29.282,31.0,29.188,30.84,63881600
orcl,2000-02-21,29.282,31.0,29.188,30.84,0
orcl,2000-02-22,29.657,30.719,28.157,29.57,75440000
orcl,2000-02-23,31.532,31.625,29.813,30.09,69657000
orcl,2000-02-24,30.969,32.532,30.125,31.59,70961800
orcl,2000-02-25,32.6875,35.5,30.9375,30.9844,103023600
orcl,2000-02-28,34.313,38.25,34.125,35.62,122283200
orcl,2000-02-29,37.125,37.219,35.563,36.69,55555200
orcl,2000-03-01,35.75,37.25,35.375,36.88,44917000
